lat,lon,status,host
-25.75305556,28.20083333,Present,Quercus ilex
-25.7524423,28.2163829,Present,Acer sp.
-25.75221337,28.21823421,Present,Platanus x acerifolia
-25.75210187,28.22870263,Present,Unknown
-25.75207201,28.2287426,Present,Ceiba pentandra
-25.75186152,28.22925393,Present,Bauhinia galpinii
-25.75168547,28.23029375,Present,Liquidambar styraciflua
-25.7516093,28.2318802,Present,Bauhinia purpurea
-25.7515659,28.2315491,Present,Erythrina caffra
-25.75142753,28.22358126,Present,Liquidambar styraciflua
-25.7511471,28.2311335,Present,Other
-25.75111111,28.21027778,Present,Quercus sp.
-25.75109799,28.231106,Present,Other
-25.75107413,28.23073819,Present,Ekebergia capensis
-25.75106018,28.23109949,Present,Other
-25.75094392,28.26108788,Present,Prunus persica
-25.7504381,28.2312667,Present,Liquidambar styraciflua
-25.7500731,28.2449456,Present,Platanus x acerifolia
-25.75,28.24305556,Present,Platanus x acerifolia
-25.7498416,28.2722133,Present,Combretum erythrophyllum
-25.74980435,28.24519531,Present,Platanus x acerifolia
-25.74888889,28.215,Present,Platanus x acerifolia
-25.74861111,28.21833333,Present,Platanus x acerifolia
-25.74839203,28.30116151,Present,Acer buergerianum
-25.74835089,28.30122068,Present,Acer buergerianum
-25.74833333,28.22333333,Present,Platanus x acerifolia
-25.74833333,28.22055556,Present,Platanus x acerifolia
-25.74825081,28.30136099,Present,Platanus x acerifolia
-25.74824396,28.3014825,Present,Acer buergerianum
-25.7480821,28.2270111,Present,Platanus x acerifolia
-25.74805556,28.22833333,Present,Platanus x acerifolia
-25.74805556,28.22666667,Present,Platanus x acerifolia
-25.74805556,28.225,Present,Platanus x acerifolia
-25.74800541,28.30263719,Present,Acer buergerianum
-25.74796153,28.22672665,Present,Acer sp.
-25.74416667,28.20833333,Present,Platanus x acerifolia
-25.74333333,28.2125,Present,Combretum sp.
-25.7393963,28.1912642,Present,Platanus sp.
-25.73916667,28.19194444,Present,Platanus x acerifolia
-25.73916333,28.19048,Present,Platanus sp.
-25.73914667,28.19023167,Present,Platanus sp.
-25.739095,28.19033833,Present,Platanus sp.
-25.7389242,28.1892686,Present,Unknown
-25.73861111,28.19527778,Present,Acacia sp.
-25.73861111,28.18916667,Present,Unknown
-25.7383,28.187974,Present,Senegalia galpinii
-25.7382997,28.1879737,Present,Unknown
-25.7382807,28.1888637,Present,Unknown
-25.73823167,28.18968167,Present,Platanus sp.
-25.7382172,28.1891368,Present,Platanus occidentalis
-25.73815333,28.19075,Present,Unknown
-25.73803667,28.19,Present,Platanus x acerifolia
-25.73776833,28.19017167,Present,Unknown
-25.737768,28.190172,Present,Ceiba speciosa
-25.73771333,28.18987833,Present,Platanus x acerifolia
-25.73737,28.19072167,Present,Unknown
-25.7370798,28.1908018,Present,Unknown
-25.73619833,28.19097333,Present,Liquidambar styraciflua
-25.736058,28.1896368,Present,Unknown
-25.735775,28.18979,Present,Unknown
-25.73556833,28.18998667,Present,Unknown
-25.73519833,28.18981167,Present,Unknown
-25.7351939,28.2219403,Present,Erythrina caffra
-25.7351768,28.2220623,Present,Acer sp.
-25.735,28.22194444,Present,Erythrina sp.
-25.73497654,28.22204348,Present,Acer sp.
-25.73472222,28.22194444,Present,Acer sp.
-25.73423627,28.20162033,Present,Platanus x acerifolia
-25.7342114,28.2215039,Present,Acer negundo
-25.73388889,28.215,Present,Platanus x acerifolia
-25.73367333,28.22084167,Present,Acer sp.
-25.73361111,28.21972222,Present,Acer sp.
-25.73358,28.2213,Present,Acer sp.
-25.73339333,28.22002,Present,Acer sp.
-25.73306,28.22527167,Present,Unknown
